TowID,SurveyType,SurveyYear,StratumID,TowCode,HaulDate,AvgDepth(Fa),StartLatitude_DD,StartLongitude_DD,EndLatitude_DD,EndLongitude_DD,Ratfish_BiomassDensity(kg/ha),Ratfish_IndDensity(ind/ha),,
1420,PRE-INDEX,2007,V,07JEXV14,6/19/2007,82,48.19862,-123.17273,48.19792,-123.18002,167.64,333.55,,
1419,PRE-INDEX,2007,V,07JEXV13,5/10/2007,79,48.36442,-123.08427,48.36915,-123.07563,606.41,244.26,,
1418,PRE-INDEX,2007,V,07JEXV12,6/19/2007,80,48.22160,-123.15580,48.21973,-123.16357,49.38,106.11,,
1417,PRE-INDEX,2007,V,07JEXV11,6/19/2007,64,48.18310,-123.17280,48.18425,-123.16563,121.86,208.66,,
1416,PRE-INDEX,2007,V,07JEXV10,6/20/2007,81,48.25743,-123.11142,48.26147,-123.10352,188.33,217.30,,
1415,PRE-INDEX,2007,V,07JEXV9,5/10/2007,101,48.42010,-123.03810,48.41475,-123.03545,179.85,248.73,,
1414,PRE-INDEX,2007,V,07JEXV8,6/20/2007,83,48.22803,-123.18193,48.22357,-123.18743,157.30,306.08,,
1413,PRE-INDEX,2007,V,07JEXV7,5/10/2007,90,48.25697,-123.08835,48.25897,-123.07777,141.42,152.26,,
1412,PRE-INDEX,2007,V,07JEXV6,5/10/2007,66,48.32002,-123.17078,48.32150,-123.15998,126.49,309.09,,
1411,PRE-INDEX,2007,V,07JEXV5,6/20/2007,64,48.28467,-123.17307,48.28803,-123.16582,36.37,152.31,,
1410,PRE-INDEX,2007,V,07JEXV4,5/25/2007,67,48.24257,-123.38743,48.23967,-123.39527,177.18,147.13,,
1409,PRE-INDEX,2007,V,07JEXV3,6/20/2007,63,48.25992,-123.12423,48.26355,-123.11992,52.35,114.03,,
1408,PRE-INDEX,2007,V,07JEXV2,5/9/2007,68,48.35498,-122.97510,48.35897,-122.98320,155.34,268.84,,
1407,PRE-INDEX,2007,V,07JEXV1,6/20/2007,78,48.24393,-123.18000,48.24072,-123.18688,75.92,212.53,,
1406,PRE-INDEX,2007,U,07JEXU12,6/8/2007,53,48.17112,-123.39862,48.17105,-123.39000,89.33,233.06,,
1405,PRE-INDEX,2007,U,07JEXU11,6/18/2007,50,48.27922,-122.85493,48.27593,-122.84622,393.16,883.68,,
1404,PRE-INDEX,2007,U,07JEXU10,6/8/2007,48,48.25450,-123.35400,48.24973,-123.34842,50.68,55.28,,
1403,PRE-INDEX,2007,U,07JEXU9,6/8/2007,55,48.25593,-123.33632,48.25628,-123.34745,62.55,56.77,,
1402,PRE-INDEX,2007,U,07JEXU8,5/25/2007,54,48.18187,-123.34448,48.17922,-123.35237,115.23,322.29,,
1401,PRE-INDEX,2007,U,07JEXU7,6/18/2007,60,48.31317,-122.93855,48.30870,-122.93157,382.64,1216.42,,
1400,PRE-INDEX,2007,U,07JEXU6,5/11/2007,48,48.18657,-123.08533,48.18203,-123.07657,1.39,1.86,,
1399,PRE-INDEX,2007,U,07JEXU5,5/9/2007,48,48.38213,-122.93373,48.37628,-122.93040,21.08,54.90,,
1398,PRE-INDEX,2007,U,07JEXU4,5/8/2007,56,48.34770,-122.83260,48.34928,-122.82352,176.59,151.19,,
1397,PRE-INDEX,2007,U,07JEXU3,5/7/2007,50,48.35075,-122.85858,48.34927,-122.86740,44.89,64.15,,
1396,PRE-INDEX,2007,U,07JEXU2,6/19/2007,42,48.16757,-123.33113,48.17028,-123.32360,7.44,31.00,,
1395,PRE-INDEX,2007,U,07JEXU1,6/20/2007,56,48.29373,-123.13267,48.29828,-123.12767,66.25,290.91,,
1394,PRE-INDEX,2007,T,07JEXT9,5/11/2007,25,48.12977,-122.99673,48.13148,-123.00687,0.00,0.00,,
1393,PRE-INDEX,2007,T,07JEXT8,6/19/2007,22,48.14507,-123.30783,48.14645,-123.30518,39.42,82.27,,
1391,PRE-INDEX,2007,T,07JEXT6,6/18/2007,27,48.21273,-122.94477,48.20972,-122.95217,0.00,0.00,,
1390,PRE-INDEX,2007,T,07JEXT5,5/8/2007,26,48.39143,-122.75515,48.39620,-122.76032,1.27,2.48,,
1389,PRE-INDEX,2007,T,07JEXT4,5/10/2007,30,48.31773,-123.09120,48.32173,-123.08998,87.84,163.60,,
1388,PRE-INDEX,2007,T,07JEXT3,5/11/2007,30,48.12447,-122.97265,48.12815,-122.98037,0.00,0.00,,
1387,PRE-INDEX,2007,T,07JEXT2,5/11/2007,22,48.15227,-123.03643,48.15748,-123.04148,0.00,0.00,,
1386,PRE-INDEX,2007,T,07JEXT1,6/20/2007,24,48.12188,-123.03183,48.12867,-123.03113,0.00,0.00,,
1385,PRE-INDEX,2007,S,07JEXS9,5/10/2007,16,48.35465,-123.05978,48.36000,-123.05637,354.42,450.76,,
1384,PRE-INDEX,2007,S,07JEXS8,6/18/2007,14,48.31767,-122.89542,48.32392,-122.89262,0.00,0.00,,
1383,PRE-INDEX,2007,S,07JEXS7,5/7/2007,10,48.30895,-122.88427,48.31017,-122.88698,0.00,0.00,,
1382,PRE-INDEX,2007,S,07JEXS6,5/9/2007,14,48.25830,-122.88110,48.26243,-122.88732,0.00,0.00,,
1381,PRE-INDEX,2007,S,07JEXS5,5/9/2007,14,48.15973,-122.91637,48.15293,-122.91703,0.00,0.00,,
1380,PRE-INDEX,2007,S,07JEXS4,6/8/2007,18,48.13342,-123.39360,48.13372,-123.40230,0.00,0.00,,
1379,PRE-INDEX,2007,S,07JEXS3,6/21/2007,19,48.10650,-123.02160,48.10443,-123.01435,0.00,0.00,,
1378,PRE-INDEX,2007,S,07JEXS2,6/19/2007,9,48.16383,-123.21187,48.16767,-123.20540,0.67,1.39,,
1377,PRE-INDEX,2007,S,07JEXS1,5/7/2007,12,48.24805,-122.82072,48.25395,-122.82147,0.00,0.00,,
1376,PRE-INDEX,2007,T,07DBXT6,6/22/2007,26,48.06820,-122.88467,48.06902,-122.89392,0.00,0.00,,
1375,PRE-INDEX,2007,T,07DBXT5,5/11/2007,28,48.07083,-122.88795,48.07293,-122.89780,0.00,0.00,,
1374,PRE-INDEX,2007,T,07DBXT4,6/22/2007,26,48.06202,-122.91372,48.06773,-122.91892,0.00,0.00,,
1373,PRE-INDEX,2007,T,07DBXT3,5/9/2007,28,48.08822,-122.88613,48.08362,-122.89070,0.00,0.00,,
1372,PRE-INDEX,2007,T,07DBXT2,6/22/2007,24,48.05528,-122.85705,48.06098,-122.86128,0.00,0.00,,
1371,PRE-INDEX,2007,T,07DBXT1,6/22/2007,26,48.06332,-122.90870,48.05993,-122.90210,0.00,0.00,,
1370,PRE-INDEX,2007,S,07DBXS6,6/21/2007,16,48.02267,-122.83607,48.02583,-122.83560,1.14,2.86,,
1369,PRE-INDEX,2007,S,07DBXS5,6/22/2007,14,48.01050,-122.85238,48.00443,-122.85087,6.95,11.08,,
1368,PRE-INDEX,2007,S,07DBXS4,6/21/2007,11,48.03108,-122.83143,48.02578,-122.83250,0.00,0.00,,
1367,PRE-INDEX,2007,S,07DBXS3,6/21/2007,18,48.02137,-122.83823,48.01855,-122.83998,0.00,0.00,,
1366,PRE-INDEX,2007,S,07DBXS2,6/21/2007,18,48.00558,-122.84732,48.01060,-122.84363,0.00,0.00,,
1365,PRE-INDEX,2007,S,07DBXS1,6/21/2007,11,48.04662,-122.83557,48.04920,-122.84360,0.00,0.00,,
1364,PRE-INDEX,2006,V,06SJXV15,6/7/2006,90,48.70552,-123.21135,48.70480,-123.21607,24.60,56.67,,
1363,PRE-INDEX,2006,V,06SJXV14,6/6/2006,70,48.67413,-123.03100,48.67017,-123.03797,2.12,6.53,,
1362,PRE-INDEX,2006,V,06SJXV13,6/7/2006,133,48.61875,-123.23333,48.61538,-123.23248,136.33,288.01,,
1361,PRE-INDEX,2006,V,06SJXV12,6/8/2006,68,48.59263,-123.04442,48.59937,-123.04440,1.45,6.88,,
1360,PRE-INDEX,2006,V,06SJXV11,6/6/2006,75,48.56855,-123.01760,48.56890,-123.00880,3.15,7.82,,
1359,PRE-INDEX,2006,V,06SJXV10,6/7/2006,88,48.71090,-123.15050,48.71020,-123.16022,16.99,72.71,,
1358,PRE-INDEX,2006,V,06SJXV9,6/6/2006,88,48.61408,-123.07177,48.61900,-123.07727,1.56,3.24,,
1357,PRE-INDEX,2006,V,06SJXV8,6/7/2006,174,48.50183,-123.15158,48.49985,-123.14845,14.78,27.06,,
1356,PRE-INDEX,2006,V,06SJXV7,6/6/2006,68,48.74702,-122.97757,48.74127,-122.97385,25.25,55.58,,
1355,PRE-INDEX,2006,V,06SJXV6,6/9/2006,105,48.74933,-123.05377,48.74323,-123.05012,92.58,136.21,,
1354,PRE-INDEX,2006,V,06SJXV5,6/8/2006,126,48.57067,-123.19450,48.57675,-123.19752,298.07,199.80,,
1353,PRE-INDEX,2006,V,06SJXV4,6/8/2006,74,48.59857,-123.06130,48.60127,-123.06738,4.38,12.06,,
1352,PRE-INDEX,2006,V,06SJXV3,6/6/2006,90,48.68673,-122.97972,48.69062,-122.97510,5.52,12.86,,
1351,PRE-INDEX,2006,V,06SJXV2,6/7/2006,142,48.60933,-123.21445,48.61402,-123.21567,144.06,91.36,,
1350,PRE-INDEX,2006,V,06SJXV1,6/8/2006,73,48.60807,-123.07607,48.61355,-123.06715,2.31,4.37,,
1349,PRE-INDEX,2006,U,06SJXU9,6/20/2006,50,48.49087,-122.97443,48.48758,-122.96688,0.00,0.00,,
1348,PRE-INDEX,2006,U,06SJXU8,6/19/2006,42,48.44467,-122.74238,48.45053,-122.74018,594.41,283.07,,
1347,PRE-INDEX,2006,U,06SJXU7,6/9/2006,56,48.64390,-122.72923,48.64257,-122.73140,1.18,3.69,,
1346,PRE-INDEX,2006,U,06SJXU6,6/19/2006,44,48.42287,-122.69162,48.41735,-122.69363,596.08,1705.11,,
1345,PRE-INDEX,2006,U,06SJXU5,6/19/2006,42,48.42678,-122.73142,48.43327,-122.73028,116.48,120.90,,
1344,PRE-INDEX,2006,U,06SJXU4,6/1/2006,56,48.71613,-122.74100,48.71950,-122.74367,85.02,138.20,,
1343,PRE-INDEX,2006,U,06SJXU3,6/20/2006,46,48.49180,-122.99063,48.49822,-122.98757,2.54,4.52,,
1342,PRE-INDEX,2006,U,06SJXU2,6/9/2006,46,48.70017,-122.79198,48.69478,-122.78612,1.95,5.02,,
1341,PRE-INDEX,2006,U,06SJXU1,6/9/2006,46,48.73382,-122.81128,48.72847,-122.80775,3.67,7.06,,
1340,PRE-INDEX,2006,T,06SJXT9,6/22/2006,29,48.55367,-122.74652,48.54790,-122.74628,0.53,1.29,,
1339,PRE-INDEX,2006,T,06SJXT8,6/5/2006,30,48.54122,-122.93815,48.54765,-122.93382,0.00,0.00,,
1338,PRE-INDEX,2006,T,06SJXT7,6/20/2006,28,48.40410,-122.77338,48.40250,-122.78163,0.00,0.00,,
1337,PRE-INDEX,2006,T,06SJXT6,6/21/2006,34,48.53098,-122.95620,48.52720,-122.96053,0.00,0.00,,
1336,PRE-INDEX,2006,T,06SJXT5,6/19/2006,38,48.40580,-122.72768,48.41098,-122.72578,24.51,45.78,,
1335,PRE-INDEX,2006,T,06SJXT4,6/5/2006,32,48.52393,-122.76730,48.51877,-122.76870,0.00,0.00,,
1334,PRE-INDEX,2006,T,06SJXT3,6/19/2006,38,48.47357,-122.75333,48.46850,-122.75273,54.95,96.84,,
1333,PRE-INDEX,2006,T,06SJXT2,6/20/2006,26,48.45305,-122.68812,48.44702,-122.69095,1.64,2.35,,
1332,PRE-INDEX,2006,T,06SJXT1,6/1/2006,28,48.53972,-122.67233,48.54275,-122.66787,0.00,0.00,,
1331,PRE-INDEX,2006,S,06SJXS11,6/21/2006,14,48.65787,-122.90288,48.65382,-122.89775,0.00,0.00,,
1330,PRE-INDEX,2006,S,06SJXS10,6/21/2006,11,48.62188,-122.97203,48.61617,-122.96862,0.00,0.00,,
1329,PRE-INDEX,2006,S,06SJXS9,6/20/2006,10,48.49877,-123.01333,48.49515,-123.00940,0.00,0.00,,
1328,PRE-INDEX,2006,S,06SJXS8,6/22/2006,14,48.58907,-122.73968,48.59233,-122.73573,0.00,0.00,,
1327,PRE-INDEX,2006,S,06SJXS7,6/21/2006,10,48.48547,-123.00193,48.48225,-123.00015,0.00,0.00,,
1326,PRE-INDEX,2006,S,06SJXS6,6/5/2006,14,48.55047,-122.93850,48.55402,-122.93343,0.00,0.00,,
1325,PRE-INDEX,2006,S,06SJXS5,6/9/2006,10,48.61380,-123.00275,48.60898,-122.99985,0.00,0.00,,
1324,PRE-INDEX,2006,S,06SJXS4,6/5/2006,13,48.54110,-122.85125,48.54618,-122.84773,0.00,0.00,,
1323,PRE-INDEX,2006,S,06SJXS3,6/22/2006,16,48.56965,-122.74040,48.56740,-122.73782,0.00,0.00,,
1322,PRE-INDEX,2006,S,06SJXS2,6/1/2006,16,48.70980,-122.70205,48.70448,-122.69933,0.00,0.00,,
1321,PRE-INDEX,2006,S,06SJXS1,6/21/2006,18,48.58277,-122.85183,48.58993,-122.84947,0.00,0.00,,
1320,PRE-INDEX,2006,V,06GBXV19,5/9/2006,86,48.87712,-122.95492,48.88193,-122.96018,16.00,64.39,,
1319,PRE-INDEX,2006,V,06GBXV18,6/1/2006,98,48.80067,-122.88478,48.80573,-122.88512,304.29,315.21,,
1318,PRE-INDEX,2006,V,06GBXV17,5/10/2006,80,48.88933,-123.05727,48.89593,-123.06395,88.47,277.19,,
1317,PRE-INDEX,2006,V,06GBXV16,5/9/2006,73,48.93058,-123.03552,48.93727,-123.03523,58.98,281.65,,
1316,PRE-INDEX,2006,V,06GBXV15,5/9/2006,73,48.93407,-123.05245,48.92772,-123.04782,129.50,241.41,,
1315,PRE-INDEX,2006,V,06GBXV14,5/10/2006,108,48.85315,-123.04120,48.84965,-123.03298,20.78,47.92,,
1314,PRE-INDEX,2006,V,06GBXV13,5/23/2006,88,48.77612,-122.85998,48.78150,-122.86613,72.27,146.80,,
1313,PRE-INDEX,2006,V,06GBXV12,6/1/2006,88,48.79227,-122.89927,48.78687,-122.90405,12.84,22.07,,
1312,PRE-INDEX,2006,V,06GBXV11,5/10/2006,68,48.90393,-123.09525,48.90162,-123.08578,55.32,185.50,,
1311,PRE-INDEX,2006,V,06GBXV10,5/24/2006,102,48.81697,-122.91617,48.81018,-122.91460,34.62,84.19,,
1310,PRE-INDEX,2006,V,06GBXV9,5/10/2006,73,48.91490,-123.00522,48.91980,-122.99977,7.02,14.53,,
1309,PRE-INDEX,2006,V,06GBXV8,5/24/2006,113,48.84085,-122.93458,48.84455,-122.94388,36.30,91.57,,
1308,PRE-INDEX,2006,V,06GBXV7,5/24/2006,68,48.80837,-122.87028,48.80283,-122.86658,31.13,172.50,,
1307,PRE-INDEX,2006,V,06GBXV6,5/10/2006,72,48.88828,-123.10278,48.88530,-123.09393,73.94,206.33,,
1306,PRE-INDEX,2006,V,06GBXV5,5/9/2006,85,48.90833,-123.03420,48.90268,-123.02980,90.33,157.77,,
1305,PRE-INDEX,2006,V,06GBXV4,5/23/2006,101,48.85108,-122.92947,48.84608,-122.92055,10.72,22.06,,
1304,PRE-INDEX,2006,V,06GBXV3,6/2/2006,71,48.79425,-122.93643,48.79737,-122.94438,5.96,15.24,,
1303,PRE-INDEX,2006,V,06GBXV2,5/24/2006,108,48.83350,-122.93442,48.83053,-122.92563,26.07,66.99,,
1302,PRE-INDEX,2006,V,06GBXV1,6/2/2006,120,48.81640,-122.99600,48.82163,-123.00330,94.02,122.75,,
1301,PRE-INDEX,2006,U,06GBXU6,5/11/2006,52,48.91993,-122.96077,48.91388,-122.96363,4.54,8.55,,
1300,PRE-INDEX,2006,U,06GBXU5,5/22/2006,58,48.77582,-122.82838,48.76967,-122.83035,79.93,213.19,,
1299,PRE-INDEX,2006,U,06GBXU4,5/22/2006,44,48.73548,-122.74722,48.73042,-122.74262,0.00,0.00,,
1298,PRE-INDEX,2006,U,06GBXU3,5/23/2006,52,48.87100,-122.91007,48.86415,-122.90927,5.99,10.89,,
1297,PRE-INDEX,2006,U,06GBXU2,5/11/2006,49,48.94893,-123.04020,48.94945,-123.04692,127.43,475.43,,
1296,PRE-INDEX,2006,U,06GBXU1,5/10/2006,56,48.92883,-122.98390,48.93385,-122.98967,0.00,0.00,,
1295,PRE-INDEX,2006,T,06GBXT7,5/9/2006,25,48.88507,-122.84968,48.88855,-122.85647,0.00,0.00,,
1294,PRE-INDEX,2006,T,06GBXT6,5/12/2006,26,48.79852,-122.80250,48.80355,-122.80162,0.00,0.00,,
1293,PRE-INDEX,2006,T,06GBXT5,5/12/2006,32,48.88147,-122.89237,48.87353,-122.88855,0.00,0.00,,
1292,PRE-INDEX,2006,T,06GBXT4,5/24/2006,38,48.83158,-122.80550,48.82502,-122.80407,6.37,10.56,,
1291,PRE-INDEX,2006,T,06GBXT3,5/8/2006,26,48.77370,-122.75778,48.77953,-122.76270,0.00,0.00,,
1290,PRE-INDEX,2006,T,06GBXT2,6/2/2006,36,48.65163,-122.65907,48.65738,-122.66187,0.07,2.24,,
1289,PRE-INDEX,2006,T,06GBXT1,5/23/2006,33,48.88740,-122.89865,48.88355,-122.90663,0.00,0.00,,
1288,PRE-INDEX,2006,S,06GBXS18,5/25/2006,6,48.75220,-122.54207,48.74942,-122.55148,0.00,0.00,,
1287,PRE-INDEX,2006,S,06GBXS17,5/22/2006,14,48.72643,-122.72473,48.72055,-122.72440,0.00,0.00,,
1286,PRE-INDEX,2006,S,06GBXS16,5/8/2006,14,48.82915,-122.75228,48.83523,-122.75147,0.71,1.22,,
1285,PRE-INDEX,2006,S,06GBXS15,5/25/2006,14,48.66607,-122.56847,48.66917,-122.56018,0.00,0.00,,
1284,PRE-INDEX,2006,S,06GBXS14,5/12/2006,16,48.68080,-122.56792,48.67525,-122.56995,0.00,0.00,,
1283,PRE-INDEX,2006,S,06GBXS13,5/25/2006,8,48.73208,-122.51408,48.72607,-122.51840,0.00,0.00,,
1282,PRE-INDEX,2006,S,06GBXS12,5/11/2006,16,48.97523,-122.92230,48.97117,-122.91642,0.00,0.00,,
1281,PRE-INDEX,2006,S,06GBXS11,5/25/2006,12,48.52003,-122.55163,48.51410,-122.54972,0.00,0.00,,
1280,PRE-INDEX,2006,S,06GBXS10,5/12/2006,8,48.99818,-122.82870,48.99608,-122.83375,0.00,0.00,,
1279,PRE-INDEX,2006,S,06GBXS9,5/25/2006,10,48.60642,-122.52203,48.60087,-122.52570,0.00,0.00,,
1278,PRE-INDEX,2006,S,06GBXS8,5/8/2006,14,48.70200,-122.58495,48.69502,-122.58252,0.00,0.00,,
1277,PRE-INDEX,2006,S,06GBXS7,5/11/2006,18,48.93590,-122.90873,48.93205,-122.90085,0.00,0.00,,
1276,PRE-INDEX,2006,S,06GBXS6,5/24/2006,18,48.79050,-122.80982,48.78367,-122.80758,0.20,1.10,,
1275,PRE-INDEX,2006,S,06GBXS5,5/11/2006,12,48.93865,-122.86572,48.93242,-122.86667,0.00,0.00,,
1274,PRE-INDEX,2006,S,06GBXS4,5/12/2006,12,48.69923,-122.65043,48.69513,-122.64455,0.00,0.00,,
1273,PRE-INDEX,2006,S,06GBXS3,5/23/2006,16,48.89370,-122.82668,48.89032,-122.81817,0.00,0.00,,
1272,PRE-INDEX,2006,S,06GBXS2,5/11/2006,12,48.98422,-122.87637,48.98180,-122.86728,0.00,0.00,,
1271,PRE-INDEX,2006,S,06GBXS1,5/22/2006,16,48.56400,-122.58627,48.56928,-122.58953,0.00,0.00,,
1270,PRE-INDEX,2005,V,05WIXV11,4/14/2005,103,47.90895,-122.34018,47.91538,-122.33613,324.67,329.67,,
1269,PRE-INDEX,2005,V,05WIXV10,4/14/2005,84,47.98810,-122.31493,47.98482,-122.31295,60.48,118.25,,
1268,PRE-INDEX,2005,V,05WIXV9,4/21/2005,64,48.11643,-122.51078,48.11283,-122.50307,17.67,38.26,,
1267,PRE-INDEX,2005,V,05WIXV8,4/15/2005,90,48.00800,-122.34695,48.01485,-122.34840,164.01,141.03,,
1266,PRE-INDEX,2005,V,05WIXV7,4/25/2005,68,48.11225,-122.49135,48.11510,-122.49930,247.05,347.25,,
1265,PRE-INDEX,2005,V,05WIXV6,4/15/2005,99,48.04880,-122.37708,48.04483,-122.36975,82.57,104.56,,
1264,PRE-INDEX,2005,V,05WIXV5,4/15/2005,86,48.02367,-122.35810,48.01650,-122.35430,167.93,191.15,,
1263,PRE-INDEX,2005,V,05WIXV4,4/26/2005,91,47.96950,-122.30618,47.96457,-122.31318,145.33,173.13,,
1262,PRE-INDEX,2005,V,05WIXV3,4/14/2005,92,47.93207,-122.35260,47.93737,-122.34780,243.91,204.63,,
1261,PRE-INDEX,2005,V,05WIXV2,4/15/2005,90,47.97032,-122.32082,47.97578,-122.32355,110.13,171.70,,
1260,PRE-INDEX,2005,V,05WIXV1,4/25/2005,67,48.07710,-122.35785,48.08322,-122.35928,16.51,23.98,,
1259,PRE-INDEX,2005,U,05WIXU8,4/26/2005,48,48.15223,-122.40917,48.14692,-122.40405,17.38,47.36,,
1258,PRE-INDEX,2005,U,05WIXU7,4/25/2005,59,48.10555,-122.38700,48.11092,-122.39255,23.91,37.28,,
1257,PRE-INDEX,2005,U,05WIXU6,4/26/2005,56,48.03838,-122.30890,48.04373,-122.30517,27.63,46.33,,
1256,PRE-INDEX,2005,U,05WIXU5,4/21/2005,50,48.11498,-122.46417,48.11072,-122.45725,82.82,165.72,,
1255,PRE-INDEX,2005,U,05WIXU4,4/20/2005,48,48.16808,-122.53620,48.16158,-122.53372,41.02,85.90,,
1254,PRE-INDEX,2005,U,05WIXU3,4/18/2005,57,47.96838,-122.24688,47.97230,-122.24370,313.01,435.40,,
1253,PRE-INDEX,2005,U,05WIXU2,4/25/2005,48,48.10200,-122.45175,48.10822,-122.45503,244.11,962.78,,
1252,PRE-INDEX,2005,U,05WIXU1,4/25/2005,59,48.13233,-122.41698,48.13823,-122.41880,84.42,41.60,,
1251,PRE-INDEX,2005,T,05WIXT9,4/20/2005,32,48.16533,-122.57340,48.17180,-122.57537,0.00,0.00,,
